Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower
417.49,418.31,417.02,417.12,3725800,980668,0
417.115,417.68,416.07,416.11,6964300,1107906,1
417.38,418.49,417.15,417.91,3657700,1167356,1
417.91,418.76,417.8,418.42,2189800,1194730,1
418.42,420.58,418.24,420.53,2292000,1225456,1
420.54,421.765,420.44,421.37,2434000,1260088,0
421.38,422.02,420.53,420.75,1813000,1283310,0
420.73,420.99,420.375,420.75,1043000,1286526,0
420.75,421.76,419.2306,419.5054,1871400,1307108,0
419.5,419.78,418.79,419.07,1654700,1317916,0
419.07,421.77,416.91,417.0056,1889000,1341754,0
417.02,417.05,415.81,416.4365,2175800,1374406,1
416.41,417.7,416.24,417.2,1827600,1397896,0
417.19,417.76,415.89,415.94,1113100,1410680,1
415.94,416.08,415.01,415.99,2150500,1441144,1
415.98,417.82,415.81,417.51,1721400,1459028,1
417.51,418.36,417.35,418.05,1265800,1464720,1
418.05,419.2794,417.77,419.22,1313900,1478636,0
419.23,419.32,418.12,418.19,1119400,1490122,0
418.195,418.82,417.97,418.0262,847600,1489938,1
418.0262,419.92,417.97,418.76,1499600,1506502,0
418.76,418.89,417.96,418.29,983000,1510788,1
418.29,419.21,417.71,418.39,1158000,1516038,1
418.38,419.61,418.38,419.37,1285100,1520774,0
419.37,419.83,418.39,419.31,1116800,1522924,1
419.31,420.0299,419.08,419.8,1050800,1528316,1
419.82,420.77,419.78,420.72,1467000,1543916,0
420.725,420.82,420.3,420.36,911400,1544268,1
420.3621,421,420.05,420.39,912200,1545024,0
420.42,420.44,419.85,420.16,702400,1545914,0
420.145,420.31,418.935,419.1499,787800,1548298,1
419.13,419.74,418.96,419.69,697700,1544664,0
419.68,419.93,418.73,419.5244,695400,1543154,1
419.5244,420.55,419.5,420.3927,675300,1544144,0
420.3927,420.46,419.9,420.12,591200,1541450,0
420.13,420.51,419.69,420,587500,1539118,1
419.99,421.91,419.79,421.57,1312600,1546350,1
421.62,422.24,421.44,422.11,1008500,1549190,0
422.11,422.49,421.69,421.95,1048800,1557188,0
421.95,422.07,421.34,421.91,863800,1560284,1
421.91,422.92,421.64,422.45,996600,1559684,0
422.45,422.645,421.71,421.89,971700,1561282,1
421.89,422.11,421.61,421.9,533400,1548042,1
421.9,422.15,421.69,422.055,698600,1527722,1
422.06,422.23,420.0909,422.1,2567700,1550422,0
422.1,422.35,420.67,420.84,1099800,1549138,0
420.84,421.16,420.16,420.72,1073300,1527322,0
420.73,420.76,420.13,420.4,764400,1509242,1
420.4,421.1694,420.34,420.562,841200,1491154,1
420.562,421.61,419.65,421.53,1262800,1464684,0
421.53,421.96,421.06,421.4822,758000,1405328,0
421.465,421.93,420.621,420.89,583100,1277704,0
420.89,421.065,420.44,420.85,508200,1214714,1
420.84,421.7,420.6,421.5735,608800,1183094,1
421.5735,422.15,421.45,421.915,570000,1148654,1
421.915,421.99,421.45,421.93,500100,1109976,0
421.9242,421.96,421.11,421.21,614600,1086008,1
421.2,421.67,421.06,421.315,429300,1073734,1
421.315,421.71,420.84,421.4598,478700,1045880,0
421.42,421.48,420.38,420.62,511300,1023012,0
420.64,421.23,420.56,420.56,374600,992724,0
420.56,420.71,420.21,420.37,456400,958336,1
420.37,421.02,420.18,420.83,527800,932340,0
420.83,420.97,419.38,420.57,897300,928024,1
420.57,421.429,420.5,421.1504,879200,902598,0
421.17,421.56,420.42,420.65,883000,885830,0
420.65,420.78,419.51,419.6799,660600,873726,0
419.66,419.66,418.29,418.71,1366500,874778,0
418.71,419,417.78,418.06,1459200,881574,1
418.05,418.68,417.6901,418.08,1468500,893992,1
418.07,418.68,417.63,418.41,1150800,887016,0
418.42,418.9,417.56,418.04,928000,885916,0
418.04,418.28,417.24,417.73,1090500,884566,1
417.73,418.52,417.705,418.27,1037400,879612,0
418.27,418.64,417.77,417.955,1077900,878834,0
417.955,418.3192,417.1,417.35,1535300,888524,1
417.36,418.645,417.12,418.3,1668100,892546,0
418.3,418.79,417.37,417.49,1959800,913514,0
417.48,417.65,416.53,417.36,4200800,979286,0
417.36,417.99,416.9,417.25,5977500,1084788,1
422.17,423.08,421.11,421.15,2734400,1123720,0
421.1599,421.74,420.73,420.79,1853700,1146840,0
420.79,421.51,419.64,419.81,1328000,1159492,1
419.81,420.85,419.75,420.03,1374700,1173480,1
420.03,420.86,419.56,420.7,1328000,1188216,0
420.7,420.82,420.0928,420.48,841300,1193292,0
420.445,420.52,418.75,418.8477,1504300,1197126,1
418.83,419.95,418.6301,419.5508,1053100,1198018,0
419.56,419.91,418.9,419.47,983700,1196716,1
419.47,420.65,418.91,420.57,1270200,1204844,0
420.565,420.68,419.79,419.86,955100,1204014,0
419.86,419.92,418.41,418.48,1487500,1214330,0
418.48,418.71,417.89,418,1374800,1231158,1
418,418.75,417.91,418.21,796300,1233112,1
418.21,418.46,417.6,418.38,782600,1197410,0
418.38,418.93,418.1933,418.3701,886000,1193134,1
418.37,418.72,417.77,418.66,677200,1185212,1
418.66,419.58,418.52,419.2801,872100,1187366,1
419.2801,419.97,419.085,419.8,803700,1186616,1
419.8,420.84,419.51,420.66,901400,1179388,1
420.66,420.85,420.39,420.84,696100,1178150,1
420.82,421.28,420.53,421.235,1202200,1190532,0
421.24,421.3,420.54,420.79,585800,1192084,0
420.81,421.26,420.61,420.74,685600,1193620,1
420.74,421.35,420.38,421.215,781200,1197844,0
421.215,421.3,420.24,420.31,584100,1199524,0
420.305,420.59,419.96,420.04,559000,1198412,0
420.04,420.14,419.47,419.98,587500,1201576,1
419.97,420.915,419.75,420.5,697400,1205950,1
420.5,420.67,420.004,420.55,396000,1203644,1
420.55,421,420.13,420.88,506800,1206288,0
420.88,420.9,420.02,420.46,516500,1207490,1
420.46,421.33,420.41,421.32,461400,1206162,1
421.315,422.07,421.26,422.04,814900,1204514,1
422.04,422.64,421.88,422.5014,667100,1200272,1
422.5014,423.22,422.48,423.2121,877000,1200152,1
423.2121,423.73,423.09,423.69,667100,1200282,1
