Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower,Open1Prev,High1Prev,Low1Prev,Close1Prev,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
424.89,426.04,424.89,426.02,1236400,1010336,1,424.33,424.95,424.24,424.89,424.45,424.6,423.84,424.32,425.49,425.73,424.04,424.43,426.72,426.76,425.46,425.51
426.03,427.15,426.0032,427.03,1527300,1018812,1,424.89,426.04,424.89,426.02,424.33,424.95,424.24,424.89,424.45,424.6,423.84,424.32,425.49,425.73,424.04,424.43
427.04,427.42,426.01,427.205,1761500,1032006,1,426.03,427.15,426.0032,427.03,424.89,426.04,424.89,426.02,424.33,424.95,424.24,424.89,424.45,424.6,423.84,424.32
427.205,427.53,426.84,427.342,1716900,1048602,1,427.04,427.42,426.01,427.205,426.03,427.15,426.0032,427.03,424.89,426.04,424.89,426.02,424.33,424.95,424.24,424.89
427.35,428.2,427.17,428.055,1617100,1059448,1,427.205,427.53,426.84,427.342,427.04,427.42,426.01,427.205,426.03,427.15,426.0032,427.03,424.89,426.04,424.89,426.02
428.06,428.47,427.06,428.25,2358100,1080708,0,427.35,428.2,427.17,428.055,427.205,427.53,426.84,427.342,427.04,427.42,426.01,427.205,426.03,427.15,426.0032,427.03
428.25,428.59,427.4,427.82,2332900,1108200,1,428.06,428.47,427.06,428.25,427.35,428.2,427.17,428.055,427.205,427.53,426.84,427.342,427.04,427.42,426.01,427.205
427.66,428.69,427.13,428.56,2922700,1149448,0,428.25,428.59,427.4,427.82,428.06,428.47,427.06,428.25,427.35,428.2,427.17,428.055,427.205,427.53,426.84,427.342
428.56,428.65,427.92,428.5,5901300,1241836,0,427.66,428.69,427.13,428.56,428.25,428.59,427.4,427.82,428.06,428.47,427.06,428.25,427.35,428.2,427.17,428.055
425.92,426.04,425.04,425.0972,2386900,1269404,1,428.56,428.65,427.92,428.5,427.66,428.69,427.13,428.56,428.25,428.59,427.4,427.82,428.06,428.47,427.06,428.25
425.0972,425.72,424.94,425.13,1521000,1277006,0,425.92,426.04,425.04,425.0972,428.56,428.65,427.92,428.5,427.66,428.69,427.13,428.56,428.25,428.59,427.4,427.82
425.15,425.37,424.191,424.23,1596000,1287972,0,425.0972,425.72,424.94,425.13,425.92,426.04,425.04,425.0972,428.56,428.65,427.92,428.5,427.66,428.69,427.13,428.56
424.2299,425.0899,423.9999,424.1899,1715500,1289012,0,425.15,425.37,424.191,424.23,425.0972,425.72,424.94,425.13,425.92,426.04,425.04,425.0972,428.56,428.65,427.92,428.5
424.19,424.51,423.54,423.55,1684600,1298492,1,424.2299,425.0899,423.9999,424.1899,425.15,425.37,424.191,424.23,425.0972,425.72,424.94,425.13,425.92,426.04,425.04,425.0972
423.55,423.94,423.43,423.86,1055400,1302816,0,424.19,424.51,423.54,423.55,424.2299,425.0899,423.9999,424.1899,425.15,425.37,424.191,424.23,425.0972,425.72,424.94,425.13
423.85,423.95,423.37,423.745,1327700,1309990,1,423.55,423.94,423.43,423.86,424.19,424.51,423.54,423.55,424.2299,425.0899,423.9999,424.1899,425.15,425.37,424.191,424.23
423.745,424.64,423.62,424.42,1199400,1314518,0,423.85,423.95,423.37,423.745,423.55,423.94,423.43,423.86,424.19,424.51,423.54,423.55,424.2299,425.0899,423.9999,424.1899
424.41,424.6135,423.32,423.395,1002100,1315620,0,423.745,424.64,423.62,424.42,423.85,423.95,423.37,423.745,423.55,423.94,423.43,423.86,424.19,424.51,423.54,423.55
423.395,423.395,421.88,422.155,1524900,1321944,0,424.41,424.6135,423.32,423.395,423.745,424.64,423.62,424.42,423.85,423.95,423.37,423.745,423.55,423.94,423.43,423.86
422.155,422.39,421.43,421.83,1535500,1339226,1,423.395,423.395,421.88,422.155,424.41,424.6135,423.32,423.395,423.745,424.64,423.62,424.42,423.85,423.95,423.37,423.745
421.83,422.49,421.47,422.4633,1073900,1344388,0,422.155,422.39,421.43,421.83,423.395,423.395,421.88,422.155,424.41,424.6135,423.32,423.395,423.745,424.64,423.62,424.42
422.4633,422.58,421.47,421.58,983700,1349226,0,421.83,422.49,421.47,422.4633,422.155,422.39,421.43,421.83,423.395,423.395,421.88,422.155,424.41,424.6135,423.32,423.395
421.58,422.2,420.97,421.32,1179900,1358790,0,422.4633,422.58,421.47,421.58,421.83,422.49,421.47,422.4633,422.155,422.39,421.43,421.83,423.395,423.395,421.88,422.155
